user_id,role,competency,user_type,true_skill,self_rating_raw,self_rating_likert,confidence_bias,timestamp
u_0346,DE,big_data,intermediate,0.713,0.773,4,0.06,2025-10-16 18:01:00
u_0346,DE,data_architecture,intermediate,0.46,0.443,3,-0.017,2025-10-16 18:01:00
u_0346,DE,databases,intermediate,0.839,0.917,5,0.078,2025-10-16 18:01:00
u_0346,DE,pipelines,intermediate,0.611,0.794,4,0.183,2025-10-16 18:01:00
u_0346,DE,system,intermediate,0.651,0.623,4,-0.028,2025-10-16 18:01:00
u_0346,DE,cloud_storage,intermediate,0.418,0.39,2,-0.028,2025-10-16 18:01:00
u_0418,DE,big_data,intermediate,0.443,0.633,4,0.19,2024-10-08 19:14:00
u_0418,DE,data_architecture,intermediate,0.153,0.245,2,0.092,2024-10-08 19:14:00
u_0418,DE,databases,intermediate,0.878,0.822,5,-0.056,2024-10-08 19:14:00
u_0418,DE,pipelines,intermediate,0.168,0.233,2,0.065,2024-10-08 19:14:00
u_0418,DE,system,intermediate,0.261,0.205,2,-0.056,2024-10-08 19:14:00
u_0418,DE,cloud_storage,intermediate,0.679,0.623,4,-0.056,2024-10-08 19:14:00
u_0101,DA,sql,intermediate,0.682,0.711,4,0.029,2024-05-22 23:06:00
u_0101,DA,statistics,intermediate,0.468,0.238,2,-0.23,2024-05-22 23:06:00
u_0101,DA,analytics,intermediate,0.237,0.03,1,-0.207,2024-05-22 23:06:00
u_0101,DA,python_da,intermediate,0.324,0.257,2,-0.067,2024-05-22 23:06:00
u_0101,DA,bi_tools,intermediate,0.692,0.57,3,-0.122,2024-05-22 23:06:00
u_0137,DA,sql,intermediate,0.791,0.829,5,0.038,2025-11-23 23:57:00
u_0137,DA,statistics,intermediate,0.706,0.597,3,-0.109,2025-11-23 23:57:00
u_0137,DA,analytics,intermediate,0.369,0.2,1,-0.169,2025-11-23 23:57:00
u_0137,DA,python_da,intermediate,0.468,0.644,4,0.176,2025-11-23 23:57:00
u_0137,DA,bi_tools,intermediate,0.454,0.427,3,-0.027,2025-11-23 23:57:00
u_0471,DE,big_data,intermediate,0.724,0.732,4,0.008,2025-07-12 18:37:00
u_0471,DE,data_architecture,intermediate,0.707,0.536,3,-0.171,2025-07-12 18:37:00
u_0471,DE,databases,intermediate,0.185,0.12,1,-0.065,2025-07-12 18:37:00
u_0471,DE,pipelines,intermediate,0.206,0.219,2,0.013,2025-07-12 18:37:00
u_0471,DE,system,intermediate,0.694,0.556,3,-0.138,2025-07-12 18:37:00
u_0471,DE,cloud_storage,intermediate,0.646,0.691,4,0.045,2025-07-12 18:37:00
u_0361,DE,big_data,beginner,0.313,0.321,2,0.008,2025-03-08 18:01:00
