user_id,role,competency,user_type,true_skill,self_rating_raw,self_rating_likert,confidence_bias,timestamp
u_0777,DE,DATA_PIPELINE,beginner,0.376,0.516,3,0.14,2025-10-16 18:01:00
u_0777,DE,DATA_ARCHITECTURE_MODELING,beginner,0.285,0.348,2,0.063,2025-10-16 18:01:00
u_0777,DE,BIG_DATA_CLOUD_TOOLS,beginner,0.328,0.486,3,0.158,2025-10-16 18:01:00
u_0777,DE,DATABASE_INTERNALS,beginner,0.307,0.57,3,0.263,2025-10-16 18:01:00
u_0777,DE,SYSTEM_ARCHITECTURE,beginner,0.18,0.232,2,0.052,2025-10-16 18:01:00
u_0508,DS,ALGORITHM_THEORY,intermediate,0.6,0.572,3,-0.028,2024-10-08 19:14:00
u_0508,DS,EVALUATION_METRICS,intermediate,0.559,0.749,4,0.19,2024-10-08 19:14:00
u_0508,DS,DATA_PREPROCESSING,intermediate,0.364,0.456,3,0.092,2024-10-08 19:14:00
u_0508,DS,DEEP_LEARNING,intermediate,0.373,0.317,2,-0.056,2024-10-08 19:14:00
u_0508,DS,NLP,intermediate,0.399,0.464,3,0.065,2024-10-08 19:14:00
u_0508,DS,TIME_SERIES,intermediate,0.449,0.393,2,-0.056,2024-10-08 19:14:00
u_0508,DS,MLOPS,intermediate,0.708,0.652,4,-0.056,2024-10-08 19:14:00
u_0896,DE,DATA_PIPELINE,intermediate,0.603,0.632,4,0.029,2024-05-22 23:06:00
u_0896,DE,DATA_ARCHITECTURE_MODELING,intermediate,0.435,0.205,2,-0.23,2024-05-22 23:06:00
u_0896,DE,BIG_DATA_CLOUD_TOOLS,intermediate,0.53,0.323,2,-0.207,2024-05-22 23:06:00
u_0896,DE,DATABASE_INTERNALS,intermediate,0.501,0.434,3,-0.067,2024-05-22 23:06:00
u_0896,DE,SYSTEM_ARCHITECTURE,intermediate,0.494,0.372,2,-0.122,2024-05-22 23:06:00
u_0923,DE,DATA_PIPELINE,intermediate,0.428,0.466,3,0.038,2025-11-23 23:57:00
u_0923,DE,DATA_ARCHITECTURE_MODELING,intermediate,0.533,0.424,3,-0.109,2025-11-23 23:57:00
u_0923,DE,BIG_DATA_CLOUD_TOOLS,intermediate,0.43,0.261,2,-0.169,2025-11-23 23:57:00
u_0923,DE,DATABASE_INTERNALS,intermediate,0.384,0.56,3,0.176,2025-11-23 23:57:00
u_0923,DE,SYSTEM_ARCHITECTURE,intermediate,0.694,0.667,4,-0.027,2025-11-23 23:57:00
u_0034,DA,SQL_DATABASE,advanced,0.732,0.69,4,-0.042,2025-07-12 18:37:00
u_0034,DA,BI_VISUALIZATION,advanced,0.556,0.335,2,-0.221,2025-07-12 18:37:00
u_0034,DA,STATISTICS_EXPERIMENTATION,advanced,0.696,0.581,3,-0.115,2025-07-12 18:37:00
u_0034,DA,ANALYTICS_BUSINESS,advanced,0.748,0.711,4,-0.037,2025-07-12 18:37:00
